iter	Passed	Remaining
0	60	18028
1	71	10660
2	83	8243
3	93	6951
4	104	6185
5	115	5672
6	126	5293
7	136	4967
8	146	4742
9	157	4558
10	166	4384
11	176	4243
12	186	4114
13	196	4005
14	205	3912
15	214	3811
16	224	3742
17	234	3668
18	244	3611
19	254	3556
20	263	3505
21	274	3463
22	283	3410
23	292	3367
24	302	3332
25	313	3300
26	323	3273
27	334	3251
28	345	3228
29	356	3206
30	368	3194
31	378	3169
32	389	3147
33	398	3120
34	408	3095
35	419	3073
36	429	3052
37	439	3032
38	450	3014
39	462	3006
40	474	2997
41	485	2982
42	496	2965
43	505	2942
44	514	2917
45	525	2899
46	534	2877
47	544	2856
48	553	2834
49	563	2818
50	573	2800
51	583	2780
52	592	2762
53	602	2742
54	612	2728
55	622	2713
56	632	2695
57	641	2675
58	650	2657
59	659	2638
60	669	2623
61	678	2605
62	688	2590
63	698	2575
64	708	2560
65	717	2544
66	727	2528
67	736	2512
68	745	2496
69	755	2481
70	765	2467
71	775	2454
72	784	2439
73	794	2425
74	803	2410
75	812	2394
76	821	2379
77	831	2366
78	840	2351
79	849	2336
80	859	2323
81	868	2309
82	878	2295
83	887	2281
84	895	2266
85	905	2253
86	914	2239
87	918	2213
88	928	2201
89	937	2188
90	946	2173
91	955	2161
92	965	2149
93	974	2136
94	984	2124
95	993	2111
96	1003	2099
97	1012	2087
98	1022	2075
99	1031	2062
100	1040	2050
101	1049	2037
102	1058	2024
103	1067	2012
104	1077	2000
105	1086	1988
106	1095	1975
107	1104	1963
108	1113	1951
109	1123	1940
110	1132	1928
111	1141	1916
112	1151	1905
113	1160	1894
114	1171	1883
115	1180	1871
116	1189	1860
117	1198	1848
118	1206	1835
119	1216	1824
120	1225	1812
121	1234	1800
122	1243	1789
123	1252	1778
124	1262	1767
125	1271	1756
126	1281	1745
127	1290	1733
128	1299	1722
129	1308	1711
130	1318	1700
131	1328	1690
132	1337	1678
133	1346	1667
134	1355	1656
135	1366	1647
136	1375	1636
137	1384	1624
138	1392	1613
139	1402	1602
140	1411	1591
141	1420	1580
142	1429	1568
143	1437	1557
144	1447	1547
145	1456	1536
146	1466	1526
147	1475	1515
148	1485	1504
149	1494	1494
150	1503	1483
151	1511	1472
152	1520	1461
153	1529	1450
154	1538	1439
155	1548	1429
156	1557	1418
157	1566	1408
158	1575	1397
159	1585	1387
160	1594	1376
161	1603	1366
162	1613	1356
163	1622	1345
164	1631	1334
165	1641	1324
166	1650	1314
167	1659	1304
168	1669	1294
169	1679	1284
170	1688	1273
171	1698	1263
172	1707	1253
173	1717	1243
174	1726	1233
175	1734	1222
176	1744	1212
177	1753	1202
178	1762	1191
179	1772	1181
180	1780	1170
181	1790	1160
182	1800	1151
183	1809	1140
184	1818	1130
185	1827	1120
186	1837	1110
187	1846	1099
188	1856	1090
189	1865	1080
190	1874	1069
191	1884	1059
192	1893	1049
193	1902	1039
194	1911	1029
195	1921	1019
196	1930	1009
197	1940	999
198	1949	989
199	1959	979
200	1968	969
201	1978	959
202	1987	949
203	1996	939
204	2005	929
205	2015	919
206	2024	909
207	2033	899
208	2043	889
209	2052	879
210	2061	869
211	2071	859
212	2081	850
213	2090	839
214	2099	829
215	2108	819
216	2117	810
217	2127	800
218	2135	789
219	2144	779
220	2153	769
221	2162	759
222	2171	749
223	2180	739
224	2190	730
225	2199	720
226	2208	710
227	2217	700
228	2226	690
229	2235	680
230	2244	670
231	2253	660
232	2261	650
233	2270	640
234	2279	630
235	2288	620
236	2298	610
237	2307	601
238	2316	591
239	2324	581
240	2333	571
241	2342	561
242	2351	551
243	2362	542
244	2371	532
245	2380	522
246	2389	512
247	2400	503
248	2409	493
249	2419	483
250	2428	474
251	2437	464
252	2445	454
253	2454	444
254	2463	434
255	2473	425
256	2482	415
257	2490	405
258	2499	395
259	2507	385
260	2516	376
261	2525	366
262	2534	356
263	2543	346
264	2552	337
265	2561	327
266	2569	317
267	2579	307
268	2588	298
269	2597	288
270	2606	278
271	2615	269
272	2624	259
273	2634	249
274	2642	240
275	2651	230
276	2660	220
277	2669	211
278	2677	201
279	2686	191
280	2695	182
281	2705	172
282	2714	163
283	2723	153
284	2732	143
285	2741	134
286	2750	124
287	2760	115
288	2769	105
289	2778	95
290	2786	86
291	2795	76
292	2804	67
293	2813	57
294	2822	47
295	2831	38
296	2841	28
297	2849	19
298	2859	9
299	2867	0
