credit_limit_mad,gender,education_level,marital_status,age,payment_status_month_1,payment_status_month_2,payment_status_month_3,payment_status_month_4,payment_status_month_5,payment_status_month_6,bill_amount_month_1,bill_amount_month_2,bill_amount_month_3,bill_amount_month_4,bill_amount_month_5,bill_amount_month_6,payment_amount_month_1,payment_amount_month_2,payment_amount_month_3,payment_amount_month_4,payment_amount_month_5,payment_amount_month_6,target
13300.0,0,2,2,23,1,0,-1,-2,-1,-2,9017,9860,7982,6518,5679,5047,1848,2622,2178,1834,901,1030,0
47250.0,1,2,2,29,0,1,1,0,0,1,16945,15952,16496,17374,16939,18571,1689,2785,4312,3840,2507,3122,0
20300.0,1,4,1,37,0,0,0,-1,0,-1,14511,14328,14356,15132,14874,13825,4908,2837,4129,5356,4325,5215,0
5950.0,1,1,1,33,1,0,1,2,2,2,2400,2173,1798,1722,1539,1428,347,293,263,227,258,199,1
29750.0,0,2,1,37,1,1,0,1,0,1,15531,16336,17726,19158,15612,13973,2591,3752,3973,4758,2684,3566,0
59500.0,0,2,2,21,-1,0,0,0,1,2,29711,26068,22849,19304,19243,18745,9262,14604,7019,11300,6089,5612,0
39550.0,0,3,2,35,2,2,2,3,4,5,18723,19063,19945,16944,13630,12830,2938,1721,3318,2035,869,1077,0
10500.0,1,2,2,21,0,1,1,2,3,3,4432,3586,3099,2892,2433,2248,1586,1324,1186,578,777,1078,1
29400.0,1,2,1,23,-1,-2,-2,-2,-1,-2,4938,4529,4816,5249,4223,3837,1266,599,1414,724,1016,550,0
20300.0,1,1,2,26,0,1,1,1,1,0,7096,6778,7284,7362,7118,5780,3865,3992,1884,2248,3870,3204,0
47950.0,0,2,2,21,-1,0,0,0,0,-1,26075,25972,22601,20817,21172,22231,12617,10734,5235,4081,4585,3957,0
58450.0,1,3,1,28,-1,-2,-2,-2,-2,-2,15076,13600,13365,12889,11112,10263,1380,2062,2286,989,1436,1015,0
7000.0,1,4,1,38,3,4,5,5,5,4,2175,2234,2330,2302,2098,1828,1090,1106,692,392,457,708,0
25200.0,0,2,2,46,0,-1,-1,0,1,1,8421,6915,6978,6158,5130,5422,1268,1226,952,1106,876,839,0
10150.0,0,2,1,30,0,0,1,0,1,0,1272,1193,1024,847,853,899,206,184,125,195,126,228,0
27650.0,0,3,1,29,2,2,1,1,1,0,10500,9774,8913,7422,6060,5254,6988,3017,4043,6399,4973,4471,0
6300.0,0,1,2,34,2,2,3,2,2,2,1019,875,753,671,685,551,127,92,113,79,57,71,1
21700.0,1,1,1,33,-1,-2,-1,-1,0,0,16692,14247,14899,14028,13615,13963,6030,6917,7038,7336,4499,5234,0
29750.0,1,2,1,26,1,0,-1,0,-1,-2,4372,4185,4039,3242,2696,2409,506,481,250,222,160,156,0
3500.0,0,1,1,40,-1,-1,-1,-2,-2,-1,458,426,454,469,418,348,61,23,55,40,64,21,1
17850.0,1,4,1,32,0,-1,0,0,0,0,9816,9360,10257,9235,9055,9577,672,682,459,632,924,432,0
5950.0,0,2,1,29,-2,-2,-2,-2,-1,-1,1349,1218,1174,961,932,870,329,247,233,147,181,217,0
48650.0,0,2,1,30,0,-1,0,1,0,-1,3424,3198,3268,2969,2933,3185,1289,888,1121,1369,862,1463,0
3850.0,0,2,1,57,-1,-2,-2,-2,-2,-2,1158,1001,807,669,678,622,160,276,265,163,88,118,0
16800.0,1,3,2,42,0,1,1,0,0,-1,12879,13937,14183,14925,12193,10816,4871,3662,6128,2973,5379,2403,0
75250.0,1,2,2,32,2,3,4,5,5,6,4395,4002,3590,3761,3240,2646,289,205,349,356,387,264,1
8750.0,0,1,2,21,1,0,0,1,2,3,855,880,709,775,798,832,295,194,225,176,185,187,0
11900.0,1,3,1,21,0,0,0,-1,-2,-2,4482,4334,4240,3550,3360,2795,556,526,787,678,468,621,0
21350.0,1,1,1,36,-1,0,1,2,2,3,11696,10897,11151,9530,10089,10001,3482,2479,3476,3011,1551,2075,0
24150.0,0,1,1,32,-1,0,1,2,3,3,11359,9545,9183,9734,9742,9044,1494,882,629,1454,1237,1296,0
3500.0,1,2,1,24,0,1,2,2,2,2,698,723,662,657,550,494,124,228,180,278,150,189,0
18200.0,0,1,1,34,0,0,0,-1,-2,-2,10932,10522,8617,8148,8186,7590,3867,4046,2509,2664,1116,2126,0
43050.0,0,4,1,28,0,1,1,2,3,3,14803,13890,11638,11607,10045,10297,6586,4350,4985,4604,4942,4277,1
160300.0,1,2,2,29,-1,-1,0,1,2,2,30273,25224,25106,24422,25042,21609,17009,19547,8084,17916,7525,8014,1
11550.0,1,4,2,33,0,-1,-2,-2,-1,-1,7693,7792,6849,5559,5272,4263,453,484,753,359,272,364,0
17500.0,1,1,2,26,-2,-2,-2,-1,-1,-2,11572,9970,8224,7182,6251,6051,2862,4537,3639,2439,2578,2128,0
33250.0,0,4,2,22,0,0,0,1,0,0,1703,1368,1273,1160,1028,1012,410,332,221,163,315,137,0
10850.0,0,1,1,23,2,3,3,4,5,4,1157,1015,1002,1051,871,883,483,266,253,519,261,356,1
87850.0,1,1,2,31,-1,-1,0,1,2,3,32842,32689,33374,33171,36182,34621,14854,9257,24344,24900,28768,15718,0
22400.0,1,1,1,21,0,-1,-1,0,-1,0,2446,2650,2877,2338,2316,2088,262,307,399,548,424,478,0
28000.0,0,2,1,55,0,1,1,0,1,2,9639,9826,10445,9898,8989,8842,1816,922,1290,1907,1258,1267,0
37450.0,1,1,2,44,5,4,5,5,6,7,22337,23083,20728,22100,20159,21137,2114,2733,3454,2966,3397,3535,0
4900.0,0,2,1,42,2,1,0,0,0,1,2872,2998,2419,2210,1873,1979,1122,2558,818,1395,1429,1554,0
29400.0,1,1,1,27,0,-1,0,-1,-1,0,23522,22873,20764,20937,21020,19010,8105,5132,8251,4534,7512,4582,0
12950.0,0,1,1,27,-1,-2,-2,-2,-1,0,4427,4831,4976,4729,5076,4993,411,489,358,754,441,908,0
10500.0,1,2,1,22,0,0,-1,-2,-2,-2,208,197,211,190,201,212,49,73,68,46,44,68,0
35000.0,0,1,2,52,0,1,2,2,3,3,2455,2549,2144,1736,1867,1718,274,284,255,273,213,162,1
63700.0,1,3,1,47,0,1,2,2,1,0,30432,31434,27469,25575,21948,21808,12598,14265,6437,7712,10105,8336,1
23100.0,1,2,2,41,-1,-2,-2,-1,-1,0,5210,4271,4582,4648,3738,3976,718,466,541,560,656,581,0
92050.0,0,4,1,34,2,3,3,2,1,0,46371,37197,38725,35302,32923,33920,19288,11676,9765,13763,8659,13841,1
18550.0,1,2,1,31,-1,0,1,2,2,1,12211,10206,9744,10351,10883,9707,4225,3098,2286,5214,4479,3675,1
4900.0,1,4,1,40,0,-1,-1,-2,-2,-2,4227,4019,3456,3198,2689,2945,669,835,712,698,503,911,0
8050.0,1,2,1,50,-1,-2,-2,-2,-2,-1,2624,2598,2418,2041,1972,1923,775,862,456,620,789,511,1
