ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
1,38000,1,2,2,23,1,0,-1,-2,-1,-2,25763,28171,22805,18624,16226,14419,5279,7490,6223,5240,2574,2943,0
2,135000,2,2,2,29,0,1,1,0,0,1,48413,45578,47131,49641,48398,53059,4826,7958,12321,10971,7163,8921,0
3,58000,2,4,1,37,0,0,0,-1,0,-1,41460,40937,41016,43235,42497,39501,14023,8106,11798,15304,12357,14900,0
4,17000,2,1,1,33,1,0,1,2,2,2,6856,6208,5136,4920,4397,4080,992,837,752,650,736,569,1
5,85000,1,2,1,37,1,1,0,1,0,1,44373,46673,50645,54737,44606,39924,7404,10721,11351,13593,7669,10188,0
6,170000,1,2,2,21,-1,0,0,0,1,2,84890,74481,65282,55153,54979,53557,26462,41727,20053,32285,17396,16034,0
7,113000,1,3,2,35,2,2,2,3,4,5,53494,54466,56987,48411,38942,36656,8394,4916,9479,5814,2482,3077,0
8,30000,2,2,2,21,0,1,1,2,3,3,12663,10246,8853,8262,6951,6423,4532,3783,3390,1652,2220,3079,1
9,84000,2,2,1,23,-1,-2,-2,-2,-1,-2,14109,12939,13760,14998,12065,10964,3618,1712,4040,2070,2902,1572,0
10,58000,2,1,2,26,0,1,1,1,1,0,20274,19366,20812,21034,20336,16514,11043,11405,5384,6424,11057,9155,0
11,137000,1,2,2,21,-1,0,0,0,0,-1,74499,74206,64573,59477,60490,63516,36049,30668,14957,11661,13101,11307,0
12,167000,2,3,1,28,-1,-2,-2,-2,-2,-2,43073,38857,38185,36826,31750,29324,3942,5890,6530,2827,4103,2901,0
13,20000,2,4,1,38,3,4,5,5,5,4,6214,6382,6656,6578,5995,5224,3115,3161,1977,1119,1307,2023,0
14,72000,1,2,2,46,0,-1,-1,0,1,1,24061,19756,19937,17595,14656,15490,3622,3502,2720,3160,2502,2396,0
15,29000,1,2,1,30,0,0,1,0,1,0,3634,3409,2927,2419,2438,2570,588,525,356,556,360,651,0
16,79000,1,3,1,29,2,2,1,1,1,0,30000,27925,25466,21205,17313,15010,19966,8619,11551,18284,14208,12773,0
17,18000,1,1,2,34,2,2,3,2,2,2,2912,2500,2151,1918,1957,1573,363,264,323,226,162,202,1
18,62000,2,1,1,33,-1,-2,-1,-1,0,0,47691,40706,42569,40079,38899,39893,17229,19762,20108,20959,12855,14954,0
19,85000,2,2,1,26,1,0,-1,0,-1,-2,12491,11958,11539,9262,7704,6884,1446,1375,715,635,458,447,0
20,10000,1,1,1,40,-1,-1,-1,-2,-2,-1,1308,1218,1297,1339,1195,994,173,67,156,115,182,59,1
21,51000,2,4,1,32,0,-1,0,0,0,0,28045,26742,29305,26385,25872,27364,1920,1950,1312,1806,2641,1235,0
22,17000,1,2,1,29,-2,-2,-2,-2,-1,-1,3853,3481,3354,2747,2662,2485,940,707,666,419,517,621,0
23,139000,1,2,1,30,0,-1,0,1,0,-1,9784,9138,9338,8483,8381,9101,3683,2538,3202,3911,2462,4179,0
24,11000,1,2,1,57,-1,-2,-2,-2,-2,-2,3309,2861,2305,1912,1936,1776,458,788,756,467,250,338,0
25,48000,2,3,2,42,0,1,1,0,0,-1,36796,39820,40523,42642,34838,30904,13916,10462,17509,8495,15368,6866,0
26,215000,2,2,2,32,2,3,4,5,5,6,12558,11434,10256,10747,9256,7561,825,586,996,1018,1105,753,1
27,25000,1,1,2,21,1,0,0,1,2,3,2443,2514,2025,2215,2281,2377,842,555,642,503,528,533,0
28,34000,2,3,1,21,0,0,0,-1,-2,-2,12806,12382,12114,10144,9599,7986,1588,1502,2249,1938,1337,1775,0
29,61000,2,1,1,36,-1,0,1,2,2,3,33416,31134,31860,27228,28827,28575,9949,7083,9932,8603,4431,5929,0
30,69000,1,1,1,32,-1,0,1,2,3,3,32455,27271,26237,27811,27833,25841,4268,2519,1797,4154,3534,3702,0
31,10000,2,2,1,24,0,1,2,2,2,2,1993,2066,1890,1877,1572,1412,355,651,513,795,428,540,0
32,52000,1,1,1,34,0,0,0,-1,-2,-2,31235,30064,24620,23279,23390,21686,11049,11560,7169,7612,3189,6073,0
33,123000,1,4,1,28,0,1,1,2,3,3,42293,39687,33252,33163,28700,29421,18818,12429,14244,13154,14120,12221,1
34,458000,2,2,2,29,-1,-1,0,1,2,2,86495,72069,71732,69776,71548,61739,48598,55849,23098,51188,21499,22898,1
35,33000,2,5,2,33,0,-1,-2,-2,-1,-1,21981,22262,19568,15883,15062,12180,1293,1383,2152,1026,778,1041,0
36,50000,2,1,2,26,-2,-2,-2,-1,-1,-2,33063,28487,23497,20519,17859,17288,8177,12963,10398,6969,7366,6080,0
37,95000,1,4,2,22,0,0,0,1,0,0,4867,3909,3637,3314,2937,2892,1170,949,631,467,900,392,0
38,31000,1,1,1,23,2,3,3,4,5,4,3306,2901,2862,3003,2488,2522,1379,761,724,1483,746,1018,1
39,251000,2,1,2,31,-1,-1,0,1,2,3,93834,93397,95353,94773,103377,98918,42439,26448,69553,71142,82193,44910,0
40,64000,2,1,1,21,0,-1,-1,0,-1,0,6988,7571,8221,6679,6618,5967,750,877,1139,1566,1211,1366,0
41,80000,1,2,1,55,0,1,1,0,1,2,27540,28073,29844,28280,25683,25264,5190,2634,3686,5450,3595,3620,0
42,107000,2,1,2,44,5,4,5,5,6,7,63821,65951,59223,63144,57598,60392,6039,7809,9868,8474,9706,10100,0
43,14000,1,2,1,42,2,1,0,0,0,1,8207,8567,6912,6315,5352,5654,3205,7309,2337,3987,4083,4441,0
44,84000,2,1,1,27,0,-1,0,-1,-1,0,67205,65351,59325,59821,60057,54315,23158,14663,23573,12955,21464,13092,0
45,37000,1,1,1,27,-1,-2,-2,-2,-1,0,12648,13802,14217,13512,14502,14265,1175,1398,1023,2155,1259,2594,0
46,30000,2,2,1,22,0,0,-1,-2,-2,-2,593,564,604,544,573,607,141,208,195,132,127,195,0
47,100000,1,1,2,52,0,1,2,2,3,3,7014,7283,6125,4960,5333,4910,783,812,728,779,608,464,1
48,182000,2,3,1,47,0,1,2,2,1,0,86948,89811,78482,73071,62709,62310,35994,40756,18391,22035,28871,23816,1
49,66000,2,2,2,41,-1,-2,-2,-1,-1,0,14887,12203,13091,13281,10681,11361,2050,1331,1545,1599,1874,1660,0
50,263000,1,4,1,34,2,3,3,2,1,0,132489,106277,110644,100862,94066,96914,55109,33360,27900,39323,24740,39545,1
51,53000,2,2,1,31,-1,0,1,2,2,1,34888,29160,27841,29573,31095,27733,12072,8850,6531,14897,12798,10499,1
52,14000,2,5,1,40,0,-1,-1,-2,-2,-2,12076,11483,9874,9136,7682,8413,1911,2387,2034,1995,1436,2603,0
53,23000,2,2,1,50,-1,-2,-2,-2,-2,-1,7498,7422,6909,5832,5633,5494,2215,2463,1304,1770,2255,1459,1
54,261000,2,5,1,41,3,4,4,4,5,6,151840,131205,130418,130457,118676,118488,80960,69901,50342,32563,50903,48916,0
55,329000,2,1,2,25,0,1,2,3,2,2,45656,41185,34427,32368,34060,32329,14657,7819,7684,11971,11883,6981,0
56,91000,2,2,1,28,-1,-1,0,-1,-1,-2,32455,34767,38192,31143,31700,31308,7642,6536,7251,4909,8016,5027,0
57,37000,1,3,2,39,-1,0,-1,-1,0,0,23146,23440,22145,19122,16084,15500,24981,24595,15687,18339,16862,6624,0
58,50000,1,1,2,27,1,0,0,0,1,1,3839,3159,3115,2767,2828,2542,98,143,110,120,124,116,1
59,63000,1,2,1,31,0,-1,0,0,1,0,54535,44924,42202,44015,40843,40765,6705,7838,9653,9698,4448,5337,0
60,67000,1,3,2,49,0,0,1,2,3,2,14677,12879,13835,12912,12281,12732,3431,4233,5320,2996,4639,2863,0
61,109000,1,2,2,32,-1,0,-1,0,1,0,79132,83544,72395,75540,64462,63891,12528,20692,7903,10747,9266,12246,0
62,90000,1,1,2,21,2,1,2,2,1,2,51782,45983,38057,38632,42034,43259,24733,24729,14176,19228,9995,20696,0
63,22000,2,2,1,62,1,2,1,1,2,2,14452,13068,12193,12336,12711,13161,3593,3055,2564,2631,2904,1286,1
64,23000,1,1,1,45,0,-1,-2,-1,-2,-2,14032,12425,11242,10939,10897,9927,942,907,801,766,828,593,1
65,107000,1,3,2,34,0,-1,-1,0,1,0,66348,61392,63290,59273,59647,58943,23479,41319,20539,17508,31725,38487,0
66,46000,2,1,1,35,0,1,1,1,2,2,23416,22087,20395,17499,16304,16330,2781,2464,4891,4216,3627,1728,1
67,61000,1,1,1,21,-1,0,-1,0,0,-1,14939,15946,16163,13338,14448,12474,8097,5711,6736,6528,6985,4517,0
