iter	Logloss
0	0.6890330128
1	0.6853022692
2	0.6816593729
3	0.6787672104
4	0.6757371937
5	0.6730084543
6	0.6705608159
7	0.6683983428
8	0.6661856918
9	0.6642249953
10	0.6626568563
11	0.6610595314
12	0.6599398887
13	0.6586795114
14	0.6573584867
15	0.6563526812
16	0.6553896223
17	0.6546813456
18	0.6537412777
19	0.6530650412
20	0.6522522921
21	0.6516307185
22	0.6510414087
23	0.6504707495
24	0.6499684715
25	0.6495453995
26	0.6489907472
27	0.6486145385
28	0.6480993051
29	0.6476323686
30	0.6473216081
31	0.6469321415
32	0.6465638771
33	0.6463176046
34	0.6460174716
35	0.645658322
36	0.6453888744
37	0.6450232405
38	0.6447282239
39	0.6444758354
40	0.64410206
41	0.6439079514
42	0.643632059
43	0.6432907051
44	0.6430889022
45	0.6428440239
46	0.6426257932
47	0.6424259237
48	0.6422456781
49	0.641914544
50	0.6417043627
51	0.6415445697
52	0.6412834083
53	0.6410670584
54	0.6407850236
55	0.6406163656
56	0.640494229
57	0.6403661473
58	0.6401798383
59	0.6399832439
60	0.6397773241
61	0.6396229632
62	0.6394336028
63	0.6392344962
64	0.6390320619
65	0.6389485155
66	0.6387174871
67	0.638495521
68	0.6383163539
69	0.6381832348
70	0.6380345559
71	0.6377999367
72	0.6376681197
73	0.637559583
74	0.6373319217
75	0.63715407
76	0.6368995507
77	0.636631984
78	0.6363665874
79	0.636229404
80	0.6361146066
81	0.6360015717
82	0.6357652953
83	0.6356295193
84	0.6354451175
85	0.6352501014
86	0.6350770109
87	0.634878483
88	0.6347358544
89	0.6345197412
90	0.6343618948
91	0.6342525559
92	0.6340652078
93	0.6339192778
94	0.6337462663
95	0.6336319293
96	0.6334767003
97	0.6332476053
98	0.6330451448
99	0.6327246381
100	0.6325305821
101	0.6324162451
102	0.6322753394
103	0.6321297777
104	0.6318872538
105	0.6318153608
106	0.6317162941
107	0.6315637746
108	0.6314434925
109	0.6312649437
110	0.6311560782
111	0.6309904059
112	0.6307907206
113	0.6305637301
114	0.6303883642
115	0.6302210347
116	0.6300566119
117	0.6298306868
118	0.6296144421
119	0.6293913185
120	0.6292356555
121	0.6291248039
122	0.628996183
123	0.6289037322
124	0.6286631154
125	0.6285665872
126	0.6284071099
127	0.6281917991
128	0.6279895095
129	0.6278549961
130	0.6275600321
131	0.6273087616
132	0.6271987386
133	0.627016244
134	0.6268334205
135	0.6267182811
136	0.6265664455
137	0.6264581325
138	0.6262863573
139	0.6262251312
140	0.6260881582
141	0.625980516
142	0.6258356119
143	0.6257037685
144	0.625515263
145	0.6253865369
146	0.6252330441
147	0.6251479325
148	0.6249902571
149	0.6247603072
150	0.6245451805
151	0.6244149286
152	0.624193265
153	0.6240617899
154	0.6238993532
155	0.6237374952
156	0.6236589206
157	0.6235577758
158	0.6233173037
159	0.6232423855
160	0.6230741616
161	0.6229273109
162	0.6227000837
163	0.6225844708
164	0.6224775783
165	0.6223142998
166	0.6221800758
167	0.6219966604
168	0.6219105361
169	0.6218152179
170	0.6217122581
171	0.6215797045
172	0.6214169389
173	0.6212361015
174	0.621078334
175	0.6209309046
176	0.6207600502
177	0.6206639034
178	0.6204679666
179	0.6203191036
180	0.6201627171
181	0.6199999516
182	0.6199198249
183	0.6198122616
184	0.6197109458
185	0.619488493
186	0.6193762604
187	0.6192667505
188	0.6191495067
189	0.6189661044
190	0.6188201613
191	0.6187174645
192	0.6185020616
193	0.6183464249
194	0.6181930504
195	0.617964258
196	0.6177627707
197	0.6175595867
198	0.6173076454
199	0.6172151025
200	0.6170169561
201	0.6168366316
202	0.6166110747
203	0.6164424168
204	0.616260514
205	0.6161009577
206	0.6158618535
207	0.6156847383
208	0.6155684284
209	0.6153137513
210	0.6151650329
211	0.6150324267
212	0.6148683196
213	0.6146605058
214	0.6144374086
215	0.6142644891
216	0.6141306728
217	0.6139100351
218	0.6136743112
219	0.6135119139
220	0.6132171472
221	0.6130501202
222	0.6127707159
223	0.612567624
224	0.6124171958
225	0.6122089348
226	0.6120215736
227	0.6117988183
228	0.6115376569
229	0.6113274625
230	0.6112133359
231	0.6109692731
232	0.6107846477
233	0.610575374
234	0.610289025
235	0.6101037156
236	0.6098659004
237	0.6094572307
238	0.6092724474
239	0.6090643575
240	0.6087234377
241	0.608459843
242	0.6081778871
243	0.6079589724
244	0.6078066633
245	0.6074732143
246	0.6073124612
247	0.607017826
248	0.6068628074
249	0.6066065389
250	0.6064228736
251	0.606151966
252	0.6058620395
253	0.6056488594
254	0.6054362449
255	0.605265614
256	0.6050893143
257	0.6049058726
258	0.604618432
259	0.604455114
260	0.6042205738
261	0.6039792863
262	0.6038258198
263	0.6035628696
264	0.6033038126
265	0.6029749802
266	0.602792525
267	0.6026272079
268	0.6023942592
269	0.602196481
270	0.6018678853
271	0.6016605319
272	0.6014061442
273	0.6010833095
274	0.6008332753
275	0.6005922903
276	0.6003711527
277	0.6001350737
278	0.5999528947
279	0.5997554716
280	0.5994480388
281	0.5992933622
282	0.599034805
283	0.5986844153
284	0.5983326444
285	0.5981274612
286	0.5978236454
287	0.5976229867
288	0.5973777665
289	0.5971625346
290	0.5969778039
291	0.5966897977
292	0.5964547314
293	0.5961965952
294	0.5959774174
295	0.5957353802
296	0.5954533979
297	0.595212597
298	0.5949732824
299	0.5947758462
