iter	Passed	Remaining
0	163	48743
1	178	26569
2	194	19232
3	212	15693
4	232	13688
5	249	12230
6	267	11196
7	282	10323
8	301	9746
9	325	9448
10	348	9162
11	384	9223
12	415	9182
13	439	8977
14	465	8842
15	501	8896
16	541	9010
17	566	8874
18	592	8758
19	618	8664
20	647	8604
21	666	8421
22	685	8258
23	704	8106
24	721	7936
25	737	7776
26	754	7630
27	770	7485
28	787	7362
29	804	7238
30	820	7120
31	836	7008
32	853	6906
33	874	6842
34	893	6761
35	919	6740
36	935	6651
37	952	6565
38	968	6481
39	986	6411
40	1009	6379
41	1032	6340
42	1053	6298
43	1078	6277
44	1101	6239
45	1123	6203
46	1143	6157
47	1160	6093
48	1176	6025
49	1192	5964
50	1210	5911
51	1227	5855
52	1244	5798
53	1260	5742
54	1277	5689
55	1292	5631
56	1311	5590
57	1327	5540
58	1344	5491
59	1362	5451
60	1379	5404
61	1395	5357
62	1412	5314
63	1433	5286
64	1450	5244
65	1466	5200
66	1483	5160
67	1499	5117
68	1515	5075
69	1532	5033
70	1551	5004
71	1573	4983
72	1595	4962
73	1617	4941
74	1641	4923
75	1663	4902
76	1685	4880
77	1708	4862
78	1725	4827
79	1741	4789
80	1757	4751
81	1774	4716
82	1790	4680
83	1806	4645
84	1823	4611
85	1839	4577
86	1858	4549
87	1874	4516
88	1890	4481
89	1907	4450
90	1923	4417
91	1937	4381
92	1954	4350
93	1971	4319
94	1986	4286
95	2003	4256
96	2019	4225
97	2035	4196
98	2053	4169
99	2070	4141
100	2086	4111
101	2102	4081
102	2117	4050
103	2133	4020
104	2149	3992
105	2165	3962
106	2180	3932
107	2197	3906
108	2218	3888
109	2240	3869
110	2260	3849
111	2283	3833
112	2305	3815
113	2328	3799
114	2351	3782
115	2369	3759
116	2385	3731
117	2401	3704
118	2418	3678
119	2433	3650
120	2449	3624
121	2472	3606
122	2492	3587
123	2513	3568
124	2535	3549
125	2556	3530
126	2578	3512
127	2600	3493
128	2622	3475
129	2648	3463
130	2677	3454
131	2738	3485
132	2794	3509
133	2828	3504
134	2867	3504
135	2885	3479
136	2901	3452
137	2918	3425
138	2935	3399
139	2949	3371
140	2966	3344
141	2984	3321
142	3000	3294
143	3015	3267
144	3033	3242
145	3054	3221
146	3086	3212
147	3115	3199
148	3144	3186
149	3184	3184
150	3224	3181
151	3247	3161
152	3265	3137
153	3282	3111
154	3300	3087
155	3319	3064
156	3335	3038
157	3353	3013
158	3370	2989
159	3386	2963
160	3403	2938
161	3418	2912
162	3434	2887
163	3450	2861
164	3466	2836
165	3483	2811
166	3498	2786
167	3514	2761
168	3529	2736
169	3547	2712
170	3570	2693
171	3593	2674
172	3614	2653
173	3633	2631
174	3652	2609
175	3672	2587
176	3699	2571
177	3721	2550
178	3744	2531
179	3761	2507
180	3777	2483
181	3793	2459
182	3809	2435
183	3824	2411
184	3842	2388
185	3859	2365
186	3878	2343
187	3895	2320
188	3911	2296
189	3928	2274
190	3943	2250
191	3958	2226
192	3975	2203
193	3990	2180
194	4006	2157
195	4023	2134
196	4038	2111
197	4054	2088
198	4073	2067
199	4087	2043
200	4104	2021
201	4119	1998
202	4136	1976
203	4155	1955
204	4174	1934
205	4192	1913
206	4210	1891
207	4228	1870
208	4246	1848
209	4268	1829
210	4290	1809
211	4311	1789
212	4332	1769
213	4352	1749
214	4372	1728
215	4390	1707
216	4411	1687
217	4434	1668
218	4459	1649
219	4479	1628
220	4496	1607
221	4516	1586
222	4533	1565
223	4549	1543
224	4565	1521
225	4579	1499
226	4596	1478
227	4612	1456
228	4630	1435
229	4649	1415
230	4666	1393
231	4685	1373
232	4704	1352
233	4724	1332
234	4744	1312
235	4764	1292
236	4785	1272
237	4804	1251
238	4826	1231
239	4851	1212
240	4869	1192
241	4886	1171
242	4901	1149
243	4917	1128
244	4932	1107
245	4947	1085
246	4962	1064
247	4985	1045
248	5008	1025
249	5035	1007
250	5058	987
251	5082	968
252	5104	948
253	5129	928
254	5149	908
255	5167	888
256	5185	867
257	5204	847
258	5223	826
259	5245	807
260	5265	786
261	5283	766
262	5307	746
263	5341	728
264	5370	709
265	5389	688
266	5406	668
267	5425	647
268	5444	627
269	5461	606
270	5478	586
271	5493	565
272	5508	544
273	5523	524
274	5539	503
275	5554	482
276	5568	462
277	5585	442
278	5599	421
279	5616	401
280	5634	380
281	5649	360
282	5667	340
283	5684	320
284	5700	300
285	5716	279
286	5733	259
287	5751	239
288	5768	219
289	5789	199
290	5807	179
291	5827	159
292	5851	139
293	5877	119
294	5900	100
295	5920	80
296	5942	60
297	5958	39
298	5977	19
299	5993	0
